# 5 foot rail, H182R (Up to date)
# 304 data points written for 3 variables.
#
# Time (s),Altitude (ft),Stability margin calibers (â€‹)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.002,NaN
0.02,0.01,NaN
0.03,0.029,NaN
0.04,0.062,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.111,NaN
0.06,0.175,NaN
0.07,0.255,NaN
0.08,0.35,NaN
0.09,0.46,NaN
0.1,0.586,NaN
0.11,0.727,NaN
0.12,0.885,NaN
0.13,1.058,NaN
0.14,1.248,NaN
0.15,1.455,NaN
0.16,1.679,NaN
0.17,1.921,NaN
0.18,2.18,NaN
0.19,2.457,NaN
0.2,2.752,NaN
0.21,3.066,NaN
0.22,3.398,NaN
0.23,3.748,NaN
0.24,4.117,NaN
0.25,4.504,NaN
0.26,4.909,NaN
# Event LAUNCHROD occurred at t=0.27 seconds
0.27,5.333,NaN
0.285,6.004,2.176
0.308,7.089,2.302
0.333,8.419,2.445
0.356,9.764,2.58
0.379,11.136,2.711
0.4,12.553,2.842
0.421,14.033,2.977
0.442,15.599,3.119
0.464,17.287,3.273
0.487,19.147,3.443
0.511,21.268,3.639
0.539,23.829,3.88
0.575,27.311,4.212
0.625,32.622,4.713
0.675,38.41,4.554
0.705,42.121,4.358
0.725,44.782,4.257
0.743,47.063,4.193
0.758,49.135,4.15
0.772,51.075,4.122
0.786,52.926,4.107
0.798,54.718,4.101
0.81,56.472,4.104
0.822,58.206,4.114
0.834,59.934,4.132
0.845,61.672,4.157
0.857,63.437,4.189
0.869,65.252,4.23
0.881,67.15,4.279
0.894,69.177,4.339
0.907,71.402,4.413
0.923,73.947,4.507
0.942,77.079,4.633
0.968,81.653,4.829
1.008,88.748,4.81
1.041,94.767,4.638
1.058,97.851,4.576
1.071,100.447,4.541
1.083,102.801,4.52
1.095,105.018,4.51
1.106,107.157,4.51
1.116,109.26,4.518
1.127,111.364,4.534
1.137,113.508,4.558
1.148,115.743,4.59
1.16,118.133,4.633
1.173,120.78,4.686
1.187,123.884,4.758
1.207,127.95,4.863
# Event BURNOUT occurred at t=1.235 seconds
1.235,133.922,5.008
1.278,142.825,4.792
1.296,146.739,4.716
1.311,149.845,4.676
1.325,152.629,4.652
1.338,155.255,4.64
1.35,157.815,4.638
1.362,160.375,4.646
1.375,163.002,4.664
1.389,165.782,4.693
1.404,168.853,4.737
1.422,172.478,4.803
1.446,177.374,4.909
1.482,184.675,4.952
1.532,194.625,4.766
1.552,198.501,4.713
1.569,201.833,4.689
1.585,204.945,4.68
1.6,207.984,4.684
1.616,211.076,4.7
1.633,214.358,4.73
1.652,218.048,4.778
1.676,222.612,4.854
1.711,229.418,4.99
1.761,238.923,4.861
1.795,245.185,4.773
1.817,249.488,4.738
1.838,253.338,4.727
1.858,257.07,4.732
1.879,260.9,4.754
1.902,265.088,4.795
1.929,270.151,4.866
1.971,277.691,4.997
2.021,286.681,4.88
2.065,294.573,4.786
2.093,299.462,4.756
2.118,303.872,4.753
2.143,308.264,4.77
2.171,313.036,4.81
2.205,318.889,4.883
2.255,327.439,5.013
2.305,335.895,4.887
2.355,344.255,4.808
2.389,349.966,4.788
2.422,355.322,4.799
2.457,361.021,4.838
2.5,368.108,4.918
2.55,376.096,4.994
2.6,383.991,4.889
2.65,391.795,4.821
2.694,398.439,4.801
2.733,404.552,4.816
2.778,411.31,4.867
2.828,418.791,4.953
2.878,426.18,4.975
2.928,433.478,4.894
2.978,440.685,4.845
3.028,447.799,4.835
3.078,454.822,4.862
3.128,461.755,4.92
3.178,468.596,4.997
3.228,475.348,4.946
3.278,482.011,4.882
3.328,488.585,4.843
3.378,495.071,4.835
3.428,501.469,4.856
3.478,507.78,4.901
3.528,514.002,4.962
3.578,520.137,4.993
3.628,526.184,4.935
3.678,532.143,4.894
3.728,538.013,4.874
3.778,543.796,4.877
3.828,549.49,4.901
3.878,555.098,4.942
3.928,560.618,4.993
3.978,566.051,4.971
4.028,571.399,4.922
4.078,576.66,4.883
4.128,581.836,4.86
4.178,586.927,4.852
4.228,591.932,4.86
4.278,596.853,4.881
4.328,601.689,4.913
4.378,606.44,4.951
4.428,611.106,4.991
4.478,615.687,4.989
4.528,620.183,4.959
4.578,624.595,4.939
4.628,628.922,4.93
4.678,633.164,4.932
4.728,637.321,4.945
4.778,641.395,4.967
4.828,645.384,4.996
4.878,649.289,4.985
4.928,653.111,4.949
4.978,656.849,4.914
5.028,660.505,4.882
5.078,664.077,4.854
5.128,667.566,4.832
5.178,670.973,4.816
5.228,674.298,4.806
5.278,677.54,4.801
5.328,680.7,4.802
5.378,683.778,4.806
5.428,686.774,4.812
5.478,689.688,4.82
5.528,692.52,4.828
5.578,695.27,4.834
5.628,697.938,4.839
5.678,700.525,4.84
5.728,703.03,4.837
5.778,705.454,4.83
5.828,707.796,4.819
5.878,710.056,4.803
5.928,712.236,4.782
5.978,714.334,4.757
6.028,716.351,4.727
6.078,718.287,4.694
6.128,720.143,4.658
6.178,721.917,4.619
6.228,723.612,4.578
6.278,725.226,4.535
6.328,726.759,4.49
6.378,728.213,4.445
6.428,729.587,4.398
6.478,730.881,4.351
6.528,732.095,4.304
6.578,733.23,4.257
6.628,734.286,4.21
6.678,735.262,4.164
6.728,736.16,4.119
6.778,736.978,4.074
6.828,737.718,4.031
6.878,738.38,3.989
6.928,738.963,3.949
6.978,739.467,3.912
7.028,739.894,3.876
7.078,740.242,3.844
7.128,740.513,3.815
7.178,740.706,3.789
7.228,740.822,3.767
# Event APOGEE occurred at t=7.278 seconds
7.278,740.86,3.749
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=7.279 seconds
7.328,740.82,3.737
7.333,740.813,NaN
7.539,739.79,NaN
7.765,737.184,NaN
8.054,731.764,NaN
8.379,723.092,NaN
8.698,712.201,NaN
9.006,699.817,NaN
9.318,685.685,NaN
9.651,669.19,NaN
10.024,649.376,NaN
10.464,624.673,NaN
10.964,595.368,NaN
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=10.965 seconds
11.464,565.271,NaN
11.479,564.382,NaN
11.485,563.992,NaN
11.492,563.571,NaN
11.5,563.137,NaN
11.508,562.689,NaN
11.516,562.226,NaN
11.525,561.746,NaN
11.534,561.25,NaN
11.543,560.735,NaN
11.554,560.199,NaN
11.564,559.643,NaN
11.576,559.063,NaN
11.587,558.457,NaN
11.6,557.824,NaN
11.614,557.161,NaN
11.628,556.465,NaN
11.644,555.732,NaN
11.66,554.959,NaN
11.678,554.141,NaN
11.698,553.272,NaN
11.719,552.346,NaN
11.742,551.356,NaN
11.767,550.292,NaN
11.795,549.142,NaN
11.826,547.893,NaN
11.861,546.525,NaN
11.9,545.015,NaN
11.945,543.333,NaN
11.997,541.435,NaN
12.059,539.262,NaN
12.133,536.726,NaN
12.224,533.694,NaN
12.34,529.943,NaN
12.495,525.078,NaN
12.718,518.287,NaN
13.08,507.545,NaN
13.58,492.916,NaN
14.08,478.328,NaN
14.58,463.738,NaN
15.08,449.152,NaN
# Event EJECTION_CHARGE occurred at t=15.235 seconds
15.58,434.568,NaN
16.08,419.988,NaN
16.58,405.411,NaN
17.08,390.837,NaN
17.58,376.265,NaN
18.08,361.697,NaN
18.58,347.132,NaN
19.08,332.57,NaN
19.58,318.011,NaN
20.08,303.455,NaN
20.58,288.903,NaN
21.08,274.353,NaN
21.58,259.806,NaN
22.08,245.262,NaN
22.58,230.721,NaN
23.08,216.184,NaN
23.58,201.649,NaN
24.08,187.117,NaN
24.58,172.589,NaN
25.08,158.063,NaN
25.58,143.54,NaN
26.08,129.021,NaN
26.58,114.504,NaN
27.08,99.991,NaN
27.58,85.48,NaN
28.08,70.972,NaN
28.58,56.468,NaN
29.08,41.966,NaN
29.58,27.467,NaN
30.08,12.972,NaN
# Event GROUND_HIT occurred at t=30.528 seconds
# Event SIMULATION_END occurred at t=30.528 seconds
30.528,0,NaN
